CurrentTime	Cell0:A	Cell0:B	Cell0:C	Cell1:A	Cell1:B	Cell1:C
0.000221105	1000	3000	2000	3000	1000	2000
0.000572255	1000	3000	2000	3001	1001	1999
0.000816667	1001	3001	1999	3001	1001	1999
0.00106888	1001	3001	1999	3001	1001	1999
0.00135791	1001	3001	1999	3001	1001	1999
0.0014005	1001	3000	1999	3001	1002	1999
0.00163333	1001	3000	1999	3002	1003	1998
0.00173486	1000	2999	2000	3002	1003	1998
0.00192539	1001	3000	1999	3002	1003	1998
0.00201479	1001	3000	1999	3002	1003	1998
0.00205089	1002	3001	1998	3002	1003	1998
0.0023909	1002	3001	1998	3003	1004	1997
0.00239245	1002	3001	1998	3004	1005	1996
0.00245	1003	3002	1997	3004	1005	1996
0.0024755	1002	3001	1998	3003	1004	1997
0.00261338	1002	3001	1998	3003	1004	1997
0.00270906	1002	3001	1998	3004	1005	1996
0.00271523	1002	3001	1998	3004	1005	1996
0.00307393	1002	3001	1998	3004	1005	1996
0.00310139	1002	3001	1998	3004	1005	1996
0.00324868	1002	3001	1998	3004	1005	1996
0.00326667	1002	3001	1998	3004	1005	1996
0.00350878	1002	3001	1998	3004	1005	1996
0.00373617	1002	3001	1998	3004	1005	1996
0.00390231	1002	3001	1998	3004	1005	1996
0.00408333	1002	3001	1998	3004	1005	1996
0.00474161	1002	3001	1998	3004	1005	1996
0.00476062	1002	3001	1998	3005	1006	1995
0.0049	1001	3001	1998	3005	1006	1995
0.00499043	1001	3001	1998	3004	1005	1996
0.0051971	1001	3001	1998	3004	1005	1996
0.00531123	1001	3001	1998	3004	1005	1996
0.00539275	1001	3001	1998	3004	1005	1996
0.0056112	1001	3001	1998	3004	1005	1996
0.00571667	1001	3001	1998	3004	1005	1996
0.00612169	1001	3001	1998	3003	1004	1997
0.00614788	1001	3001	1998	3004	1005	1996
0.00616711	1001	3001	1998	3005	1006	1995
0.00639448	1002	3002	1997	3005	1006	1995
0.00643717	1002	3002	1997	3005	1006	1995
0.00648968	1002	3002	1997	3005	1006	1995
0.00653333	1002	3002	1997	3005	1006	1995
0.00735	1002	3002	1997	3004	1005	1996
0.00743789	1002	3002	1997	3004	1005	1996
0.00744184	1002	3002	1997	3004	1005	1996
0.00747645	1003	3003	1996	3004	1005	1996
0.00753664	1003	3003	1996	3004	1005	1996
0.0077439	1003	3003	1996	3004	1005	1996
0.0079663	1003	3003	1996	3005	1006	1995
0.00815512	1003	3003	1996	3006	1007	1994
0.00816667	1003	3003	1996	3006	1007	1994
0.00898333	1003	3003	1996	3006	1007	1994
0.00938519	1003	3003	1996	3006	1007	1994
0.00951392	1003	3003	1996	3006	1007	1994
0.00955589	1004	3004	1995	3006	1007	1994
0.00966407	1005	3005	1994	3006	1007	1994
0.0098	1005	3005	1994	3006	1007	1994
0.00990087	1005	3005	1994	3006	1007	1994
0.0103801	1005	3005	1994	3006	1007	1994
0.0105864	1006	3006	1993	3006	1007	1994
0.0106167	1007	3007	1992	3006	1007	1994
0.0106232	1007	3007	1992	3006	1007	1994
0.0106689	1007	3007	1992	3006	1007	1994
0.0109214	1007	3007	1992	3006	1007	1994
0.0109836	1008	3008	1991	3006	1007	1994
0.010987	1008	3008	1991	3005	1007	1994
0.0110802	1008	3008	1991	3005	1007	1994
0.0113321	1008	3008	1991	3006	1008	1993
0.0113422	1008	3008	1991	3006	1007	1993
0.0114333	1008	3008	1991	3006	1007	1993
0.0114611	1008	3008	1991	3005	1006	1994
0.0121565	1009	3009	1990	3005	1006	1994
0.01225	1010	3010	1989	3005	1006	1994
0.0126584	1010	3010	1989	3005	1006	1994
0.0130667	1010	3010	1989	3005	1006	1994
0.0131109	1010	3010	1989	3005	1006	1994
0.0138833	1010	3010	1989	3005	1006	1994
0.0143742	1010	3010	1989	3004	1005	1995
0.0144862	1010	3010	1989	3004	1005	1995
0.0144917	1010	3010	1989	3004	1005	1995
0.0146299	1010	3010	1989	3005	1006	1994
0.0147	1010	3010	1989	3006	1007	1993
0.0151085	1010	3010	1989	3006	1007	1993
0.0151437	1011	3011	1988	3006	1007	1993
0.015184	1011	3011	1988	3006	1007	1993
0.0152054	1011	3011	1988	3006	1007	1993
0.0154386	1011	3011	1988	3006	1007	1993
0.0155167	1011	3011	1988	3007	1008	1992
0.015639	1011	3011	1988	3007	1008	1992
0.0158022	1011	3011	1988	3007	1008	1992
0.0159615	1012	3012	1987	3007	1008	1992
0.0161605	1012	3012	1987	3007	1008	1992
0.0163333	1013	3013	1986	3007	1008	1992
0.0164201	1013	3013	1986	3006	1007	1993
0.0164509	1013	3013	1986	3006	1007	1993
0.0165938	1013	3013	1986	3007	1008	1992
0.0169177	1013	3013	1986	3007	1008	1992
0.01715	1013	3013	1986	3007	1008	1992
0.0175066	1013	3013	1986	3006	1007	1993
0.0175948	1014	3014	1985	3006	1007	1993
0.0176294	1015	3015	1984	3006	1007	1993
0.0176972	1015	3015	1984	3006	1007	1993
0.0178579	1015	3015	1984	3006	1007	1993
0.017869	1015	3015	1984	3006	1007	1993
0.0178952	1014	3015	1984	3006	1007	1993
0.0179667	1014	3015	1984	3006	1007	1993
0.0180542	1014	3015	1984	3006	1007	1993
0.018104	1014	3015	1984	3007	1008	1992
0.0181458	1014	3015	1984	3008	1009	1991
0.0184337	1015	3016	1983	3008	1009	1991
0.0184426	1015	3016	1983	3008	1009	1991
0.0187833	1015	3016	1983	3008	1009	1991
0.0188134	1015	3016	1983	3006	1007	1993
0.0188672	1015	3016	1983	3006	1007	1993
0.018913	1015	3016	1983	3006	1007	1993
0.0193656	1015	3016	1983	3006	1007	1993
0.0195565	1015	3016	1983	3006	1007	1993
0.0196	1015	3016	1983	3006	1007	1993
0.0197972	1014	3015	1984	3006	1007	1993
0.0199746	1014	3015	1984	3006	1007	1993
0.0200571	1015	3016	1983	3006	1007	1993
0.020324	1015	3016	1983	3006	1007	1993
0.0203766	1015	3016	1983	3006	1007	1993
0.0203825	1015	3016	1983	3006	1007	1993
0.0204167	1015	3016	1983	3006	1007	1993
0.0205986	1015	3016	1983	3006	1007	1993
0.0206401	1015	3016	1983	3006	1007	1993
0.0207988	1015	3016	1983	3006	1007	1993
0.0208561	1015	3016	1983	3006	1007	1993
0.0210203	1015	3016	1983	3006	1007	1993
0.0210695	1016	3017	1982	3006	1007	1993
0.0212333	1017	3018	1981	3006	1007	1993
0.021378	1016	3017	1982	3006	1007	1993
0.0215684	1016	3017	1982	3006	1007	1993
0.0217512	1016	3017	1982	3006	1007	1993
0.0218559	1017	3018	1981	3006	1007	1993
0.0218769	1017	3018	1981	3006	1007	1993
0.022033	1017	3018	1981	3006	1006	1993
0.02205	1017	3018	1981	3007	1007	1992
0.0223592	1017	3018	1981	3006	1006	1993
0.0224108	1017	3018	1981	3006	1006	1993
0.0224895	1018	3019	1980	3006	1006	1993
0.0225994	1018	3019	1980	3006	1006	1993
0.0226182	1018	3019	1980	3006	1006	1993
0.0227149	1018	3019	1980	3006	1006	1993
0.0228667	1017	3019	1980	3006	1006	1993
0.0229255	1016	3018	1981	3006	1006	1993
0.0229356	1016	3018	1981	3007	1007	1992
0.0231603	1016	3018	1981	3007	1007	1992
0.0233426	1016	3018	1981	3007	1007	1992
0.0236359	1016	3018	1981	3008	1008	1991
0.0236833	1016	3017	1981	3008	1008	1991
0.0242892	1016	3017	1981	3008	1008	1991
